Date,Ticker,Lookback_Index,Attention_Weight
2025-03-21,MSFT,16,0.05001061409711838
2025-03-21,MSFT,17,0.050082020461559296
2025-03-21,MSFT,18,0.05004790425300598
2025-03-21,MSFT,19,0.05000704526901245
2025-03-21,MSFT,20,0.05000433698296547
2025-03-21,QCOM,1,0.050047267228364944
2025-03-21,QCOM,2,0.050038665533065796
2025-03-21,QCOM,3,0.05005001649260521
2025-03-21,QCOM,4,0.05000601336359978
2025-03-21,QCOM,5,0.04985624551773071
2025-03-21,QCOM,6,0.049896832555532455
2025-03-21,QCOM,7,0.04993611201643944
2025-03-21,QCOM,8,0.04995015636086464
2025-03-21,QCOM,9,0.04994065314531326
2025-03-21,QCOM,10,0.04993141070008278
2025-03-21,QCOM,11,0.05002763867378235
2025-03-21,QCOM,12,0.049982961267232895
2025-03-21,QCOM,13,0.04995851218700409
2025-03-21,QCOM,14,0.049934271723032
2025-03-21,QCOM,15,0.04994692653417587
2025-03-21,QCOM,16,0.05005042627453804
2025-03-21,QCOM,17,0.05013483017683029
2025-03-21,QCOM,18,0.05012109503149986
2025-03-21,QCOM,19,0.05009487271308899
2025-03-21,QCOM,20,0.050095170736312866
2025-03-21,SBUX,1,0.050291143357753754
2025-03-21,SBUX,2,0.05024835094809532
2025-03-21,SBUX,3,0.0501759834587574
2025-03-21,SBUX,4,0.050051312893629074
2025-03-21,SBUX,5,0.05008357763290405
2025-03-21,SBUX,6,0.05009279027581215
2025-03-21,SBUX,7,0.05014696344733238
2025-03-21,SBUX,8,0.05004351958632469
2025-03-21,SBUX,9,0.049994125962257385
2025-03-21,SBUX,10,0.049838993698358536
2025-03-21,SBUX,11,0.04994557797908783
2025-03-21,SBUX,12,0.049903374165296555
2025-03-21,SBUX,13,0.04987457022070885
2025-03-21,SBUX,14,0.049812331795692444
2025-03-21,SBUX,15,0.04979420080780983
2025-03-21,SBUX,16,0.04991236329078674
2025-03-21,SBUX,17,0.04997430741786957
2025-03-21,SBUX,18,0.04995518550276756
2025-03-21,SBUX,19,0.04992062225937843
2025-03-21,SBUX,20,0.049940768629312515
2025-03-24,AAPL,1,0.050558436661958694
2025-03-24,AAPL,2,0.050425972789525986
2025-03-24,AAPL,3,0.05018597096204758
2025-03-24,AAPL,4,0.050092704594135284
2025-03-24,AAPL,5,0.05008412152528763
2025-03-24,AAPL,6,0.05012199655175209
2025-03-24,AAPL,7,0.050099439918994904
2025-03-24,AAPL,8,0.05007074773311615
2025-03-24,AAPL,9,0.05007988214492798
2025-03-24,AAPL,10,0.05019351467490196
2025-03-24,AAPL,11,0.05004110932350159
2025-03-24,AAPL,12,0.04985717684030533
2025-03-24,AAPL,13,0.04970061033964157
2025-03-24,AAPL,14,0.049596451222896576
2025-03-24,AAPL,15,0.049715396016836166
2025-03-24,AAPL,16,0.04980476573109627
2025-03-24,AAPL,17,0.04981592670083046
2025-03-24,AAPL,18,0.04976199194788933
2025-03-24,AAPL,19,0.04983621463179588
2025-03-24,AAPL,20,0.04995747283101082
2025-03-24,ADBE,1,0.050306178629398346
2025-03-24,ADBE,2,0.05031546205282211
2025-03-24,ADBE,3,0.050284579396247864
2025-03-24,ADBE,4,0.05025249719619751
2025-03-24,ADBE,5,0.05022907629609108
2025-03-24,ADBE,6,0.05035162344574928
2025-03-24,ADBE,7,0.05036675184965134
2025-03-24,ADBE,8,0.0503401979804039
2025-03-24,ADBE,9,0.05025746673345566
2025-03-24,ADBE,10,0.050295278429985046
2025-03-24,ADBE,11,0.050218261778354645
2025-03-24,ADBE,12,0.05024293437600136
2025-03-24,ADBE,13,0.050220079720020294
2025-03-24,ADBE,14,0.04950554668903351
2025-03-24,ADBE,15,0.04945961758494377
2025-03-24,ADBE,16,0.04948083311319351
2025-03-24,ADBE,17,0.0494244247674942
2025-03-24,ADBE,18,0.04932670295238495
2025-03-24,ADBE,19,0.04948216676712036
2025-03-24,ADBE,20,0.04964028298854828
2025-03-24,AMD,1,0.05009310320019722
2025-03-24,AMD,2,0.05000803992152214
2025-03-24,AMD,3,0.049978435039520264
2025-03-24,AMD,4,0.04985370114445686
2025-03-24,AMD,5,0.049840305000543594
2025-03-24,AMD,6,0.049914292991161346
2025-03-24,AMD,7,0.0499039851129055
2025-03-24,AMD,8,0.04991935193538666
2025-03-24,AMD,9,0.04995230212807655
2025-03-24,AMD,10,0.05005878210067749
2025-03-24,AMD,11,0.050040051341056824
2025-03-24,AMD,12,0.050087276846170425
2025-03-24,AMD,13,0.05005901679396629
2025-03-24,AMD,14,0.04996681585907936
2025-03-24,AMD,15,0.050020743161439896
2025-03-24,AMD,16,0.050068892538547516
2025-03-24,AMD,17,0.05005931854248047
2025-03-24,AMD,18,0.0500328354537487
2025-03-24,AMD,19,0.050058286637067795
2025-03-24,AMD,20,0.05008454993367195
2025-03-24,CMCSA,1,0.049942996352910995
2025-03-24,CMCSA,2,0.049857594072818756
2025-03-24,CMCSA,3,0.04973424971103668
2025-03-24,CMCSA,4,0.04972536861896515
2025-03-24,CMCSA,5,0.04991981014609337
2025-03-24,CMCSA,6,0.0501578263938427
2025-03-24,CMCSA,7,0.0501517653465271
2025-03-24,CMCSA,8,0.05019495263695717
2025-03-24,CMCSA,9,0.05021369457244873
2025-03-24,CMCSA,10,0.050166066735982895
2025-03-24,CMCSA,11,0.04998624324798584
2025-03-24,CMCSA,12,0.049966271966695786
2025-03-24,CMCSA,13,0.04987115412950516
2025-03-24,CMCSA,14,0.049798384308815
